,frame_number,track_id,car_bbox,lp_bbox,lp_text,lp_conf
198,231,1,"(248, 230, 523, 474)","(325, 413, 382, 443)",8254S,0.0
199,232,1,"(248, 230, 523, 475)","(328, 413, 380, 441)",8254S,0.9401596713535518
200,233,1,"(249, 230, 525, 478)","(337, 413, 380, 437)",8254S,0.6121629723916001
201,234,1,"(249, 231, 525, 478)","(329, 413, 380, 438)",8254S,0.7628626002900795
202,235,1,"(249, 230, 525, 478)","(337, 413, 380, 437)",8254S,0.6121629723916001
203,236,1,"(249, 230, 525, 478)","(337, 413, 380, 437)",8254S,0.6121629723916001
204,237,1,"(249, 230, 525, 478)","(337, 413, 380, 437)",8254S,0.6121629723916001
205,238,1,"(249, 230, 525, 477)","(335, 412, 379, 437)",8254S,0.7255319412791975
206,239,1,"(249, 230, 525, 477)","(335, 412, 379, 437)",8254S,0.7255319412791975
207,240,1,"(249, 230, 525, 477)","(328, 412, 376, 436)",8254S,0.83834578636269
208,241,1,"(249, 230, 525, 477)","(326, 412, 378, 437)",8254S,0.9299874386670572
209,244,1,"(249, 230, 525, 477)","(325, 412, 380, 437)",8254S,0.7494728670076999
210,245,1,"(249, 231, 525, 477)","(329, 412, 381, 437)",8254S,0.6555107472574974
211,246,1,"(249, 231, 525, 477)","(329, 412, 381, 437)",8254S,0.6555107472574974
212,247,1,"(249, 230, 525, 477)","(325, 412, 380, 437)",8254S,0.7494728670076999
213,248,1,"(249, 230, 525, 477)","(325, 412, 380, 437)",8254S,0.7494728670076999
214,249,1,"(249, 230, 525, 477)","(325, 412, 380, 437)",A 8254S,0.7494728670076999
215,250,1,"(249, 230, 525, 477)","(325, 412, 380, 437)",A 8254S,0.7494728670076999
216,251,1,"(249, 231, 525, 477)","(326, 413, 379, 437)",A 8254S,0.0
217,252,1,"(249, 231, 525, 477)","(329, 412, 380, 437)",A 8254S,0.0
218,253,1,"(249, 231, 525, 477)","(329, 412, 380, 437)",A 8254S,0.0
219,254,1,"(249, 231, 525, 477)","(329, 412, 380, 437)",A 8254S,0.0
220,255,1,"(249, 231, 525, 477)","(329, 412, 380, 437)",A 8254S,0.0
221,256,1,"(249, 231, 525, 477)","(329, 412, 380, 437)",A 8254S,0.0
222,257,13,,,U,0.6703948401938966
223,257,1,"(249, 231, 525, 477)","(328, 412, 377, 437)",A 8254S,0.5086226123153266
224,258,1,"(249, 231, 525, 477)","(328, 412, 377, 437)",8254S,0.5086226123153266
225,259,1,"(249, 231, 525, 477)","(328, 412, 377, 437)",8254S,0.5086226123153266
226,260,1,"(249, 231, 525, 477)","(328, 412, 377, 437)",8254S,0.5086226123153266
227,261,1,"(249, 231, 525, 477)","(328, 412, 377, 437)",8254=,0.5086226123153266
228,262,1,"(249, 231, 525, 477)","(329, 412, 377, 437)",8254=,0.6405354584118229
229,263,1,"(249, 231, 525, 477)","(328, 412, 377, 437)",8254=,0.5086226123153266
230,264,1,"(249, 231, 525, 476)","(327, 412, 377, 437)",8254=,0.0
231,265,1,"(249, 231, 525, 477)","(328, 412, 377, 437)",8254=,0.5086226123153266
232,266,1,"(249, 231, 525, 477)","(328, 412, 377, 437)",8254=,0.5086226123153266
233,267,1,"(249, 231, 525, 476)","(327, 412, 377, 437)",8254=,0.0
234,268,1,"(249, 231, 525, 476)","(327, 412, 377, 437)",8254=,0.0
235,269,1,"(249, 231, 525, 476)","(327, 412, 377, 437)",8254=,0.0
236,270,1,"(249, 231, 525, 476)","(327, 412, 377, 437)",8254=,0.0
237,271,1,"(249, 231, 525, 476)","(327, 412, 377, 437)",8254=,0.0
238,272,1,"(249, 231, 525, 477)","(329, 412, 376, 437)",8254=,0.999560804235024
239,273,1,"(249, 231, 525, 477)","(328, 412, 375, 437)",8254=,0.999535426362017
240,273,13,"(1028, 23, 1279, 232)","(1089, 181, 1137, 199)",E6z05,0.7107350689680335
241,274,1,"(249, 231, 525, 477)","(329, 412, 375, 437)",8254=,0.9330650311043444
242,274,13,"(1025, 27, 1278, 236)","(1085, 185, 1133, 203)",E6z05,0.7688741103710862
243,275,1,"(249, 231, 525, 477)","(328, 412, 375, 437)",8254=,0.9997107240676308
244,275,13,"(1021, 31, 1278, 239)","(1081, 188, 1129, 207)",E6z05,0.6004623243470291
245,276,1,"(249, 231, 525, 477)","(328, 412, 374, 437)",8254=,0.8362071507429569
246,276,13,"(1017, 33, 1274, 244)","(1076, 191, 1125, 210)",E6z05,0.7338947963203917
247,277,1,"(249, 231, 525, 477)","(328, 412, 374, 437)",8254=,0.8362071507429569
248,277,13,"(1009, 37, 1269, 248)","(1072, 194, 1121, 213)",E6z05,0.0
249,278,1,"(249, 231, 525, 477)","(328, 412, 374, 437)",8254=,0.8362071507429569
250,278,13,"(1005, 41, 1262, 253)","(1068, 199, 1117, 218)",E6z05,0.902204133777568
251,279,1,"(249, 231, 525, 477)","(328, 412, 374, 437)",8254=,0.8362071507429569
252,279,13,"(998, 43, 1257, 258)","(1063, 202, 1113, 221)",F6705,0.5545856126580568
253,280,1,"(249, 231, 525, 477)","(329, 412, 374, 437)",8254=,0.8362071507429569
254,280,13,"(993, 46, 1250, 262)","(1059, 209, 1109, 226)",F6705,0.0
255,281,1,"(249, 231, 525, 477)","(329, 412, 374, 437)",8254=,0.8362071507429569
256,281,13,"(989, 50, 1246, 266)","(1055, 214, 1105, 231)",F6705,0.8465961240259458
257,282,1,"(249, 231, 525, 477)","(328, 412, 374, 437)",8254_,0.8362071507429569
258,282,13,"(985, 53, 1241, 270)","(1051, 217, 1102, 235)",F6705,0.8571981833542595
259,283,1,"(249, 231, 525, 477)","(329, 412, 374, 437)",8254_,0.8362071507429569
260,283,13,"(980, 56, 1235, 279)","(1047, 222, 1098, 241)",F6705,0.0
261,284,1,"(249, 231, 525, 477)","(329, 412, 374, 437)",8254_,0.8362071507429569
262,284,13,"(975, 61, 1231, 283)","(1042, 227, 1094, 245)",F6705,0.0
263,285,1,"(249, 231, 525, 477)","(329, 412, 374, 437)",8254_,0.8362071507429569
264,285,13,"(968, 64, 1228, 287)","(1038, 232, 1090, 250)",F6705,0.0
265,286,1,"(249, 231, 525, 477)","(329, 412, 374, 437)",8254_,0.8362071507429569
266,286,13,"(961, 67, 1222, 294)","(1034, 237, 1086, 255)",F6705,0.8479941112654356
267,287,1,"(249, 231, 525, 477)","(329, 412, 374, 437)",8254_,0.8362071507429569
268,287,13,"(960, 70, 1221, 297)","(1030, 241, 1082, 259)",F6705,0.5331054201496696
269,288,1,"(249, 231, 525, 477)","(329, 412, 374, 437)",8254_,0.8362071507429569
270,288,13,"(955, 73, 1217, 302)","(1027, 246, 1079, 265)",F6705,0.7242967400362712
271,289,1,"(249, 231, 525, 477)","(328, 412, 374, 437)",8254_,0.8362071507429569
272,289,13,"(953, 76, 1213, 308)","(1023, 251, 1075, 270)",F6705,0.5577590391713898
273,290,1,"(249, 231, 525, 477)","(328, 412, 374, 437)",8254_,0.8362071507429569
274,290,13,"(947, 82, 1203, 312)","(1019, 255, 1072, 275)",F6705,0.799843074563541
275,291,1,"(249, 231, 525, 477)","(329, 412, 374, 437)",8254_,0.8362071507429569
276,291,13,"(943, 85, 1200, 317)","(1015, 260, 1069, 281)",F6705,0.726058761636338
277,292,1,"(249, 231, 525, 477)","(328, 412, 374, 437)",8254_,0.8362071507429569
278,292,13,"(939, 88, 1197, 323)","(1011, 266, 1065, 286)",F6705,0.0
279,293,1,"(249, 231, 525, 477)","(328, 412, 374, 437)",8254_,0.8362071507429569
280,293,13,"(935, 94, 1193, 327)","(1007, 272, 1061, 291)",F6705,0.5816237222569651
281,294,1,"(249, 231, 525, 477)","(328, 412, 374, 437)",8254_,0.8362071507429569
282,294,13,"(929, 97, 1188, 331)","(1002, 277, 1057, 296)",E6705,0.8426059793152191
283,295,1,"(249, 231, 525, 477)","(329, 412, 374, 437)",8254_,0.8362071507429569
284,295,13,"(925, 101, 1185, 335)","(998, 282, 1053, 302)",E6705,0.5470993286543278
285,296,1,"(249, 231, 525, 477)","(329, 412, 374, 437)",8254_,0.7632824860626518
286,296,13,"(920, 105, 1181, 341)","(993, 286, 1049, 306)",E6705,0.0
287,297,1,"(249, 231, 525, 477)","(329, 412, 374, 437)",8254_,0.9966265430781808
288,297,13,"(915, 109, 1177, 348)","(989, 292, 1044, 311)",E6705,0.0
289,298,13,"(909, 113, 1171, 355)","(984, 296, 1040, 317)",E6705,0.7539346310568882
290,298,1,"(249, 231, 526, 477)","(327, 412, 375, 439)",8254_,0.5282722216077698
291,299,13,"(903, 116, 1169, 361)","(979, 302, 1035, 322)",E6705,0.0
292,299,1,"(249, 231, 525, 478)","(329, 413, 375, 438)",8254_,0.6006344331061275
293,300,1,"(249, 232, 525, 476)","(329, 412, 380, 437)",8254_,0.0
294,300,13,"(897, 123, 1167, 365)","(974, 308, 1031, 328)",E6705,0.8760365409161638
295,301,1,"(249, 231, 525, 478)","(337, 413, 378, 438)",8254_,0.0
296,301,13,"(892, 124, 1163, 372)","(969, 313, 1026, 334)",E6705,0.7896426902492351
297,302,13,"(888, 130, 1157, 379)","(964, 319, 1021, 340)",E6705,0.9568482404303512
298,303,1,"(249, 231, 525, 477)","(336, 412, 376, 438)",8254_,0.9994045495986938
299,303,13,"(882, 134, 1154, 383)","(959, 324, 1017, 345)",E6705,0.6853425724096268
300,304,1,"(249, 230, 525, 477)","(332, 412, 376, 438)",8254_,0.9999948740005492
301,304,13,"(876, 138, 1150, 391)","(954, 331, 1012, 352)",E6705,0.95906652236437
302,305,1,"(249, 231, 525, 477)","(339, 412, 375, 437)",8254_,0.6236984702763753
303,305,13,"(870, 144, 1147, 397)","(949, 336, 1007, 358)",E6705,0.0
304,306,13,"(864, 146, 1144, 405)","(943, 343, 1002, 365)",E6705,0.7629578176675699
305,306,1,"(249, 231, 525, 477)","(338, 412, 375, 437)",8254_,0.9999481439590454
306,307,1,"(249, 230, 525, 477)","(330, 412, 376, 438)",8254_,0.0
307,307,13,"(858, 147, 1138, 407)","(937, 350, 997, 372)",E6705,0.0
308,308,1,"(249, 230, 525, 477)","(330, 412, 376, 438)",8254_,0.999925434589386
309,308,13,"(853, 148, 1134, 417)","(932, 356, 992, 378)",E6705,0.0
310,309,1,"(249, 230, 525, 477)","(330, 412, 376, 438)",8254_,0.0
311,309,13,"(846, 152, 1131, 424)","(926, 363, 987, 385)",E6705,0.6501705632892086
312,310,1,"(249, 230, 525, 477)","(330, 412, 376, 438)",8254_,0.0
